name,rid,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
El Perdido,7813,Valid,H5,30250,Found,1905,-38.683330,-61.100000,"(-38.68333, -61.1)"
Hammadah al Hamra 328,11811,Valid,H5,30440,Found,1999,28.958330,10.591670,"(28.95833, 10.59167)"
Bledsoe,5074,Valid,H4,30500,Found,1970,33.591670,-103.026670,"(33.59167, -103.02667)"
Djebel Chaab 002,7654,Valid,LL6,30616,Found,2003,25.155920,0.822130,"(25.15592, 0.82213)"
Los Vientos 002,54617,Valid,L6,30750,Found,2010,-24.683330,-69.766670,"(-24.68333, -69.76667)"
Puente del Zacate,18894,Valid,"Iron, IIIAB",30790,Found,1904,27.866670,-101.500000,"(27.86667, -101.5)"
Saline,23109,Valid,H5,30800,Found,1901,39.400000,-100.400000,"(39.4, -100.4)"
Arriba,2339,Valid,L5,31100,Found,1936,39.300000,-103.250000,"(39.3, -103.25)"
Chantonnay,5325,Valid,L6,31500,Fell,1812,46.683330,1.050000,"(46.68333, 1.05)"
Ioka,12040,Valid,L3.5,31500,Found,1931,40.250000,-110.083330,"(40.25, -110.08333)"
Carraweena,5281,Valid,L3.9,31600,Found,1914,-29.233330,139.933330,"(-29.23333, 139.93333)"
Yonozu,30366,Valid,H4/5,31650,Fell,1837,37.750000,139.000000,"(37.75, 139.0)"
Thiel Mountains,23911,Valid,"Pallasite, PMG",31700,Found,1962,-85.450000,-90.000000,"(-85.45, -90.0)"
Derrick Peak A78011,6687,Valid,"Iron, IIAB",31800,Found,1978,-80.066670,156.383330,"(-80.06667, 156.38333)"
Allegan,2276,Valid,H5,32000,Fell,1899,42.533330,-85.883330,"(42.53333, -85.88333)"
Dhurmsala,7640,Valid,LL6,32000,Fell,1860,32.233330,76.466670,"(32.23333, 76.46667)"
Hermitage Plains,11877,Valid,L6,32000,Found,1909,-31.733330,146.400000,"(-31.73333, 146.4)"
Northwest Africa 6932,54507,Valid,"Iron, ungrouped",32000,Found,2008,0.000000,0.000000,"(0.0, 0.0)"
Patos de Minas (hexahedrite),18113,Valid,"Iron, IIAB",32000,Found,1925,-18.583330,-46.533330,"(-18.58333, -46.53333)"
Narraburra,16915,Valid,"Iron, IIIAB",32200,Found,1855,-34.250000,147.700000,"(-34.25, 147.7)"
Mossgiel,16758,Valid,L4,32383,Found,1967,-33.316670,144.783330,"(-33.31667, 144.78333)"
Jumapalo,12209,Valid,L6,32490,Fell,1984,-7.716670,111.200000,"(-7.71667, 111.2)"
Kyancutta,12386,Valid,"Iron, IIIAB",32700,Found,1932,-33.283330,136.000000,"(-33.28333, 136.0)"
Putnam County,18906,Valid,"Iron, IVA",32700,Found,1839,33.250000,-83.250000,"(33.25, -83.25)"
Bella Roca,5003,Valid,"Iron, IIIAB",33000,Found,1888,24.900000,-105.400000,"(24.9, -105.4)"
Jiddat al Harasis 406,48557,Valid,L6,33000,Found,2006,19.532680,56.872250,"(19.53268, 56.87225)"
Valencia,24147,Valid,H5,33500,Found,,39.000000,-0.033330,"(39.0, -0.03333)"
Gnowangerup,10937,Valid,"Iron, IIIAB",33600,Found,1976,-34.000000,118.100000,"(-34.0, 118.1)"
View Hill,24173,Valid,"Iron, IIIAB",33600,Found,1952,-43.320000,172.063330,"(-43.32, 172.06333)"
Cangas de Onis,5252,Valid,H5,34000,Fell,1866,43.383330,-5.150000,"(43.38333, -5.15)"
Jelica,12078,Valid,LL6,34000,Fell,1889,43.833330,20.441670,"(43.83333, 20.44167)"
Ställdalen,23712,Valid,H5,34000,Fell,1876,59.933330,14.950000,"(59.93333, 14.95)"
Broken Hill,5146,Valid,L6,34000,Found,1994,-31.833330,141.766670,"(-31.83333, 141.76667)"
Buck Mountains 003,44705,Valid,L6,34200,Found,2005,34.734500,-114.217170,"(34.7345, -114.21717)"
Plains,18839,Valid,H5,34300,Found,1964,33.283330,-102.766670,"(33.28333, -102.76667)"
Vermillion,24167,Valid,"Pallasite, ungrouped",34360,Found,1991,39.736330,-96.361330,"(39.73633, -96.36133)"
Guin,11445,Valid,"Iron, ungrouped",34500,Found,1969,33.966670,-87.916670,"(33.96667, -87.91667)"
Gursum,11465,Valid,H4/5,34650,Fell,1981,9.366670,42.416670,"(9.36667, 42.41667)"
Rowena,22772,Valid,H6,34700,Found,1962,-29.800000,148.633330,"(-29.8, 148.63333)"
Modoc (1905),16711,Valid,L6,35000,Fell,1905,38.500000,-101.100000,"(38.5, -101.1)"
Ladder Creek,12410,Valid,L6,35100,Found,1937,38.616670,-101.633330,"(38.61667, -101.63333)"
Lueders,14750,Valid,"Iron, IAB-MG",35400,Found,1973,32.836110,-99.604170,"(32.83611, -99.60417)"
Northwest Africa 6203,51736,Valid,"Iron, IAB-MG",35400,Found,2008,30.516670,-4.300000,"(30.51667, -4.3)"
Costilla Peak,5453,Valid,"Iron, IIIAB",35500,Found,1881,36.833330,-105.233330,"(36.83333, -105.23333)"
Coffeyville,51051,Valid,H5,35900,Found,2006,37.016670,-95.666670,"(37.01667, -95.66667)"
El Burro,7793,Valid,"Iron, IIAB",35900,Found,1939,29.333330,-101.833330,"(29.33333, -101.83333)"
Woolgorong,24334,Valid,L6,36000,Fell,1960,-27.750000,115.833330,"(-27.75, 115.83333)"
Eagle Station,7761,Valid,"Pallasite, PES",36000,Found,1880,38.616670,-84.966670,"(38.61667, -84.96667)"
Haskell,11849,Valid,L5,36000,Found,1909,33.213330,-99.731670,"(33.21333, -99.73167)"
Kansas City (1903),12248,Valid,H5,36000,Found,1903,39.100000,-94.633330,"(39.1, -94.63333)"
San Emigdio,23122,Valid,H4,36000,Found,1887,36.000000,-119.000000,"(36.0, -119.0)"
Melrose (a),15475,Valid,L5,36400,Found,1933,34.383330,-103.616670,"(34.38333, -103.61667)"
Songyuan,23668,Valid,L6,36900,Fell,1993,45.250000,125.000000,"(45.25, 125.0)"
L'Aigle,12434,Valid,L6,37000,Fell,1803,48.766670,0.633330,"(48.76667, 0.63333)"
Dhofar 1289,34505,Valid,L4,37000,Found,2004,18.633330,54.421670,"(18.63333, 54.42167)"
Waterville,24219,Valid,"Iron, IAB-ung",37125,Found,1917,47.767778,-119.876389,"(47.767778, -119.876389)"
Densmore (1879),6656,Valid,L6,37200,Found,1879,39.650000,-99.683330,"(39.65, -99.68333)"
Patwar,18171,Valid,Mesosiderite-A1,37350,Fell,1935,23.150000,91.183330,"(23.15, 91.18333)"
N'Goureyma,16968,Valid,"Iron, ungrouped",37500,Fell,1900,13.850000,-4.383330,"(13.85, -4.38333)"
Alatage,452,Valid,"Iron, IIIAB",37500,Found,1959,42.333330,93.000000,"(42.33333, 93.0)"
Albin (pallasite),455,Valid,"Pallasite, PMG",37600,Found,1915,41.500000,-104.100000,"(41.5, -104.1)"
Wonyulgunna,24329,Valid,"Iron, IIIAB",37800,Found,1937,-24.916670,120.066670,"(-24.91667, 120.06667)"
Avoca (Western Australia),4909,Valid,"Iron, IIIAB",37850,Found,1966,-30.850000,122.316670,"(-30.85, 122.31667)"
Bellsbank,5006,Valid,"Iron, IIG",38000,Found,1955,-28.083330,24.083330,"(-28.08333, 24.08333)"
Capot Rey,30449,Valid,H5,38000,Found,2004,20.125930,10.205600,"(20.12593, 10.2056)"
Mayfield,15450,Valid,H4,38400,Found,1972,37.308330,-97.545000,"(37.30833, -97.545)"
Lamont,12453,Valid,Mesosiderite,38690,Found,1940,38.077780,-96.026390,"(38.07778, -96.02639)"
Bunjil,5164,Valid,L6,38750,Found,1971,-29.629170,116.482220,"(-29.62917, 116.48222)"
Weaver Mountains,24227,Valid,"Iron, IVB",38800,Found,1898,34.250000,-112.750000,"(34.25, -112.75)"
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,1847,50.600000,16.300000,"(50.6, 16.3)"
Guareña,11439,Valid,H6,39000,Fell,1892,38.733330,-6.016670,"(38.73333, -6.01667)"
Bechar 001,4988,Valid,L6,39000,Found,1998,30.833330,-3.333330,"(30.83333, -3.33333)"
Dhofar 1700,56325,Valid,L6,39000,Found,2010,18.866220,54.679670,"(18.86622, 54.67967)"
Manitouwabing,15406,Valid,"Iron, IIIAB",39000,Found,1962,45.440000,-79.875560,"(45.44, -79.87556)"
Shingle Springs,23535,Valid,"Iron, ungrouped",39000,Found,1869,38.666670,-120.933330,"(38.66667, -120.93333)"
Pinnaroo,18827,Valid,Mesosiderite-A4,39400,Found,1927,-35.383330,140.916670,"(-35.38333, 140.91667)"
Lohawat,14678,Valid,Howardite,40000,Fell,1994,26.965560,72.626670,"(26.96556, 72.62667)"
Olmedilla de Alarcón,18015,Valid,H5,40000,Fell,1929,39.566670,-2.100000,"(39.56667, -2.1)"
Pavlograd,18176,Valid,L6,40000,Fell,1826,48.533330,35.983330,"(48.53333, 35.98333)"
Sivas,23617,Valid,H6,40000,Fell,1989,39.824670,36.135830,"(39.82467, 36.13583)"
Uberaba,24096,Valid,H5,40000,Fell,1903,-19.816670,-48.783330,"(-19.81667, -48.78333)"
Calliham,5201,Valid,L6,40000,Found,1958,28.416670,-98.250000,"(28.41667, -98.25)"
Dronino,7732,Valid,"Iron, ungrouped",40000,Found,2000,54.746670,41.421670,"(54.74667, 41.42167)"
El Simbolar,7818,Valid,Iron,40000,Found,1938,-30.633330,-64.883330,"(-30.63333, -64.88333)"
Jerslev,12084,Valid,"Iron, IIAB",40000,Found,1976,55.608833,11.229167,"(55.608833, 11.229167)"
